Entity Name,Entity ID,Security Name,Security ID,Does the company meet your screening criteria?,ESG Risk Score
Advanced Petrochemical Co.,1037092863,,1037092863,Yes,27.77
Advanced Power Electronics Corp.,2000919987,,2000919987,N/A,No data
Advanced Process Systems Corp.,1418348333,,1418348333,Yes,29.10
"Advanced Technology & Materials Co., Ltd.",2000823242,,2000823242,Yes,53.02
Advanced Wireless Semiconductor Co.,1035821638,,1035821638,Yes,20.63
Advancetek Enterprise Co. Ltd.,1017737239,,1017737239,N/A,No data
"Advansix, Inc.",1345580686,,1345580686,Yes,23.94
Advantage Energy Ltd.,1008756876,,1008756876,Yes,50.46
"Advantage Solutions, Inc. (California)",2008330882,,2008330882,Yes,18.42
"Advantech Co., Ltd.",1010310896,,1010310896,Yes,19.29
Advantest Corp.,1008753751,,1008753751,Yes,16.53
"Adventure, Inc.",1262821233,,1262821233,Yes,33.70
ADvTECH Ltd.,1010126349,,1010126349,Yes,17.18
Adyen NV,2003250672,,2003250672,Yes,16.23
"AECC Aero Science & Technology Co., Ltd.",2000819531,,2000819531,N/A,No data
"AECC Aero-engine Control Co., Ltd.",1017587783,,1017587783,Yes,44.21
"AECC Aviation Power Co., Ltd.",1031931293,,1031931293,Yes,48.84
AECI Ltd.,1008752375,,1008752375,Yes,28.45
AECOM,1008579425,,1008579425,Yes,29.75
"Aecon Group, Inc.",1008752163,,1008752163,Yes,29.94
AEDAS Homes SA,1545959919,,1545959919,Yes,10.93
Aedifica SA,1015803714,,1015803714,Yes,11.06
Aegea Finance SARL,2005446322,,2005446322,Yes,12.61
Aegea Saneamento e Participaçoes SA,1545699700,,1545699700,Yes,12.61
Aegean Airlines SA,1028472137,,1028472137,Yes,29.01
Aegis Logistics Ltd.,1008759028,,1008759028,Yes,38.61
Aegon Bank NV,1035458963,,1035458963,Yes,15.30
Aegon Ltd.,1008126152,,1008126152,Yes,15.30
Aehr Test Systems,1007902659,,1007902659,Yes,22.21
"Aekyung Chemical Co., Ltd.",2009506116,,2009506116,N/A,No data
"Aekyung Industrial Co., Ltd.",2000741868,,2000741868,Yes,32.61
AEM Holdings Ltd.,2000686414,,2000686414,Yes,17.46
"Aemetis, Inc.",1035671109,,1035671109,Yes,52.22
Aena S.M.E. SA,1144872732,,1144872732,Yes,8.80
AEON Co. (Malaysia) Bhd.,1008760967,,1008760967,Yes,17.17
"AEON Co., Ltd.",1008752908,,1008752908,Yes,24.49
AEON Credit Service (M) Bhd.,1038741885,,1038741885,Yes,22.47
"AEON DELIGHT CO., LTD.",1013400156,,1013400156,Yes,25.30
"AEON Fantasy Co., Ltd.",1013509280,,1013509280,Yes,34.61
"AEON Financial Service Co., Ltd.",1008761283,,1008761283,Yes,31.40
AEON Hokkaido Corp.,2000501248,,2000501248,Yes,20.49
"AEON Kyushu Co., Ltd.",2000563382,,2000563382,N/A,No data
"AEON Mall Co., Ltd.",1013432430,,1013432430,Yes,21.99
AEON REIT Investment Corp.,1255588138,,1255588138,Yes,18.52
AEON Thana Sinsap (Thailand) Public Co. Ltd.,1016057101,,1016057101,Yes,24.16
"AEP Texas, Inc.",1008137977,,1008137977,Yes,29.54
AEP Transmission Co. LLC,1231362469,,1231362469,Yes,44.62
AerCap Global Aviation Trust,1008773193,,1008773193,Yes,20.04
AerCap Holdings NV,1008774424,,1008774424,Yes,20.04
AerCap Ireland Capital DAC,2005097328,,2005097328,Yes,20.04
"Aerojet Rocketdyne Holdings, Inc.",1008152665,,1008152665,Yes,21.10
Aeroporti di Roma SpA,1009466957,,1009466957,Yes,13.92
Aeropuerto Internacional De La Ciudad De México S.A. de C.V.,2003519972,,2003519972,Yes,22.24
Aeropuertos Dominicanos Siglo XXI SA,1056815459,,1056815459,Yes,24.05
"Aerospace Hi-Tech Holding Group Co., Ltd.",2000773180,,2000773180,Yes,28.93
"Aerovate Therapeutics, Inc.",2007549921,,2007549921,Yes,30.34
"AeroVironment, Inc.",1009552882,,1009552882,Yes,28.74
AerSale Corp.,2007497633,,2007497633,Yes,27.72
AES Andes SA,1008262885,,1008262885,Yes,35.58
AES Andres BV,2000962932,,2000962932,Yes,26.87
AES Argentina Generación SA,2003879512,,2003879512,Yes,17.09
AES Brasil Energia SA,2008670858,,2008670858,Yes,12.01
AES Panama Generation Holdings SRL,2008062882,,2008062882,Yes,26.87
"AESI Holdings, Inc.",2013497072,,2013497072,N/A,No data
Aether Industries Ltd.,2006205665,,2006205665,N/A,No data
"Aetna, Inc.",1008533788,,1008533788,Yes,22.01
AEV International Pte Ltd.,2004819087,,2004819087,Yes,45.59
"Aeva Technologies, Inc.",2008595663,,2008595663,Yes,37.18
AEVIS VICTORIA SA,1019669868,,1019669868,N/A,No data
AEW UK REIT Plc,1300269853,,1300269853,Yes,16.51
"AEye, Inc.",2009096270,,2009096270,Yes,24.55
AF Gruppen ASA,1014052840,,1014052840,Yes,33.76
"AFC Gamma, Inc.",2008126504,,2008126504,Yes,29.84
"Affiliated Managers Group, Inc.",1007902691,,1007902691,Yes,21.50
Affimed NV,1008728129,,1008728129,Yes,29.65
Affin Bank Bhd.,2000673564,,2000673564,Yes,25.44
Affinity Sutton Capital Markets Plc,1056562828,,1056562828,Yes,13.50
Affinity Water Finance (2004) Plc,1040331849,,1040331849,Yes,27.50
Affinity Water Ltd.,2002472839,,2002472839,Yes,27.50
Affinity Water Programme Finance Ltd.,1234151512,,1234151512,Yes,27.50
"Affirm Holdings, Inc.",2008376455,,2008376455,Yes,27.42
Affle (India) Ltd.,2006291807,,2006291807,Yes,20.49
Affordable Housing Finance Plc,2000285018,,2000285018,Yes,29.55
AFI Properties Ltd.,1021032084,,1021032084,Yes,24.44
"Aflac, Inc.",1008128424,,1008128424,Yes,18.33
"AfreecaTV Co., Ltd.",1021280593,,1021280593,Yes,20.82
Africa Finance Corp.,1106900721,,1106900721,Yes,14.52
Africa Israel Residences Ltd.,2000924866,,2000924866,Yes,24.48
Africa Oil Corp.,1008758778,,1008758778,Yes,43.92
African Export-Import Bank,1028580964,,1028580964,Yes,39.35
African Rainbow Minerals Ltd.,1008751967,,1008751967,Yes,33.58
Afrimat Ltd.,1037496672,,1037496672,N/A,No data
AFRY AB,1008755938,,1008755938,Yes,22.72
After You Public Co. Ltd.,2004891687,,2004891687,Yes,33.18
AG Anadolu Grubu Holding AS,1014401676,,1014401676,Yes,31.52
"Ag Growth International, Inc.",1010823865,,1010823865,Yes,22.61
"AGC, Inc. (Japan)",1008751939,,1008751939,Yes,22.13
AGCO Corp.,1008195765,,1008195765,Yes,17.63
AGCO International Holdings BV,2002593431,,2002593431,Yes,17.63
ageas SA/NV,1008755201,,1008755201,Yes,20.71
Agence France Locale Société anonyme,1273558396,,1273558396,Yes,18.29
Agence Française de Développement,1012370970,,1012370970,Yes,10.80
"Agenus, Inc.",1008288202,,1008288202,Yes,27.63
Agfa-Gevaert NV,1008752955,,1008752955,Yes,14.31
AGI Finance Pty Ltd.,2008271577,,2008271577,Yes,30.33
Agile Group Holdings Ltd.,1032783346,,1032783346,Yes,17.47
"Agilent Technologies, Inc.",1008033170,,1008033170,Yes,13.31
"Agiliti, Inc. (Minnesota)",2006338025,,2006338025,Yes,21.20
Agility Public Warehousing Co. KSC,1013269895,,1013269895,Yes,21.36
"Agilon Health, Inc.",2004990149,,2004990149,Yes,26.01
"Agilysys, Inc.",1008175393,,1008175393,Yes,13.18
"Agios Pharmaceuticals, Inc.",1054418033,,1054418033,Yes,23.67
AGL Energy Ltd.,1008752982,,1008752982,Yes,35.56
Agmo Holdings Bhd.,2011835385,,2011835385,N/A,No data
AGNC Investment Corp.,1048896868,,1048896868,Yes,16.15
Agnico Eagle Mines Ltd.,1008126341,,1008126341,Yes,21.38
"Agora, Inc. (China)",2007921723,,2007921723,Yes,25.90
AGRANA Beteiligungs-AG,1008759932,,1008759932,Yes,31.55
Agree Realty Corp.,1008211578,,1008211578,Yes,15.24
Agricultural Bank of China (London Branch),2004154520,,2004154520,Yes,26.11
Agricultural Bank of China (New York Branch),1251228336,,1251228336,Yes,29.55
Agricultural Bank of China Ltd.,1013342231,,1013342231,Yes,29.55
Agricultural Bank of China Ltd. (Hong Kong Branch),1042165079,,1042165079,Yes,29.55
Agricultural Bank of China Ltd. (Singapore Branch),2001068424,,2001068424,Yes,28.81
Agricultural Development Bank of China,2000940284,,2000940284,N/A,No data
Agritrade Resources Ltd.,1008760379,,1008760379,Yes,50.39
Agrosuper SA,2003413046,,2003413046,Yes,34.06
AGT Ltd.,1015283749,,1015283749,Yes,17.56
Agthia Group PJSC,1032103426,,1032103426,Yes,30.88
Agua y Saneamientos Argentinos SA,2002405293,,2002405293,Yes,37.09
Aguas Andinas SA,1008756000,,1008756000,Yes,22.00
AGV Products Corp.,1017587776,,1017587776,Yes,32.99
Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS,2012821355,,2012821355,N/A,No data
Ahli Bank QPSC,1028211065,,1028211065,Yes,35.14
Ahli United Bank,1017126651,,1017126651,Yes,26.55
Ahli United Bank BSC,1018478519,,1018478519,Yes,25.10
"Ahnlab, Inc.",1015838962,,1015838962,Yes,25.72
Ahold Finance U.S.A. LLC,1010992215,,1010992215,Yes,26.19
AI Candelaria (Spain) SLU,2006561287,,2006561287,Yes,24.90
Ai Holdings Corp.,1013585784,,1013585784,Yes,17.02
AIA Engineering Ltd.,1032508231,,1032508231,Yes,23.94
AIA Group Ltd.,1106778807,,1106778807,Yes,12.65
AIB Group plc,1008203121,,1008203121,Yes,12.70
"Aica Kogyo Co., Ltd.",1008758921,,1008758921,Yes,25.58
Aichi Corp.,1008758616,,1008758616,Yes,29.45
"Aichi Financial Group, Inc.",2012489079,,2012489079,Yes,34.23
Aichi Steel Corp.,1008757871,,1008757871,Yes,37.94
Aida Engineering Ltd.,1008753106,,1008753106,Yes,31.18
"Aier Eye Hospital Group Co., Ltd.",2001246461,,2001246461,Yes,28.87
AIFUL Corp.,1008760541,,1008760541,Yes,29.45
AIG Global Funding,1286334110,,1286334110,Yes,25.86
AIG SunAmerica Global Financing X,2003508553,,2003508553,Yes,25.86
"AIM Vaccine Co., Ltd.",2004547289,,2004547289,N/A,No data
"AIMA Technology Group Co., Ltd.",2004170645,,2004170645,Yes,12.97
AIMCo Realty Investors LP,2005289127,,2005289127,Yes,28.54
AIMS APAC REIT,1041210772,,1041210772,Yes,12.39
"Ain Holdings, Inc.",1013432936,,1013432936,Yes,16.88
"Aiphone Co., Ltd.",1013423890,,1013423890,Yes,23.70
